#id: 3902734007
#name: H.sapiens - Whole organism (Integrated)
#score: 35.5
#coverage: 99
#description: integrated dataset: weighted average of all H.sapiens WHOLE_ORGANISM: 35.5, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Human_PeptideAtlas_2011-08_Ens62.new:0.338;9606-PA_201408:0.304;9606_GPM_201408:0.178;Human_iBAQ_Khan_2013:0.089;peptideatlaBuild_March2009.peptides.new:0.064;GPM_2012_09_Homo_sapiens_-_ensembl:0.02;HsapiensBuild242_May2010.peptides.new:0.007;
#publication_year: 2023
#filename: 9606-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
9606.ENSP00000405573	870
9606.ENSP00000327801	869
9606.ENSP00000449328	867
9606.ENSP00000248553	853
9606.ENSP00000364801	850
9606.ENSP00000364802	850
9606.ENSP00000434024	848
9606.ENSP00000211998	848
9606.ENSP00000373487	847
9606.ENSP00000418770	847
9606.ENSP00000357722	846
9606.ENSP00000297012	840
9606.ENSP00000410815	839
9606.ENSP00000346839	831
9606.ENSP00000366109	829
9606.ENSP00000228945	825
9606.ENSP00000439189	821
9606.ENSP00000389103	820
9606.ENSP00000336702	815
9606.ENSP00000300026	815
9606.ENSP00000415941	814
9606.ENSP00000446215	811
9606.ENSP00000396688	810
9606.ENSP00000344547	804
9606.ENSP00000358155	799
9606.ENSP00000475814	799
9606.ENSP00000250559	799
9606.ENSP00000401564	797
9606.ENSP00000332194	796
9606.ENSP00000333277	789
9606.ENSP00000358154	789
9606.ENSP00000385479	789
9606.ENSP00000320295	788
9606.ENSP00000296511	782
9606.ENSP00000318195	777
9606.ENSP00000365081	770
9606.ENSP00000345957	765
9606.ENSP00000393241	763
9606.ENSP00000378130	760
9606.ENSP00000359991	757
9606.ENSP00000299300	755
9606.ENSP00000433560	753
9606.ENSP00000363641	749
9606.ENSP00000215754	742
9606.ENSP00000261267	736
9606.ENSP00000373477	735
9606.ENSP00000391481	735
9606.ENSP00000463559	733
9606.ENSP00000276079	729
9606.ENSP00000357283	728
9606.ENSP00000346027	727
9606.ENSP00000217652	727
9606.ENSP00000217133	724
9606.ENSP00000468236	722
9606.ENSP00000261313	721
9606.ENSP00000271638	713
9606.ENSP00000356385	711
9606.ENSP00000356391	711
9606.ENSP00000219150	710
9606.ENSP00000339795	709
9606.ENSP00000299767	707
9606.ENSP00000342026	706
9606.ENSP00000254801	704
9606.ENSP00000300289	699
9606.ENSP00000346050	698
9606.ENSP00000242285	693
9606.ENSP00000369609	690
9606.ENSP00000222381	687
9606.ENSP00000359345	685
9606.ENSP00000309830	684
9606.ENSP00000436126	682
9606.ENSP00000215909	682
9606.ENSP00000283179	682
9606.ENSP00000307889	679
9606.ENSP00000367022	678
9606.ENSP00000303373	677
9606.ENSP00000483842	677
9606.ENSP00000355656	677
9606.ENSP00000367220	677
9606.ENSP00000351589	676
9606.ENSP00000352119	676
9606.ENSP00000352627	676
9606.ENSP00000482431	676
9606.ENSP00000482538	676
9606.ENSP00000366679	676
9606.ENSP00000328484	676
9606.ENSP00000428085	676
9606.ENSP00000341094	675
9606.ENSP00000225698	675
9606.ENSP00000438553	672
9606.ENSP00000416429	668
9606.ENSP00000299198	668
9606.ENSP00000324105	665
9606.ENSP00000432282	664
9606.ENSP00000353408	663
9606.ENSP00000310275	662
9606.ENSP00000367542	658
9606.ENSP00000346001	653
9606.ENSP00000313967	653
9606.ENSP00000485552	652
9606.ENSP00000363018	651
9606.ENSP00000352257	649
9606.ENSP00000329374	649
9606.ENSP00000439012	642
9606.ENSP00000304229	642
9606.ENSP00000477538	641
9606.ENSP00000381448	641
9606.ENSP00000265073	640
9606.ENSP00000326042	638
9606.ENSP00000382982	638
9606.ENSP00000327431	638
9606.ENSP00000356042	636
9606.ENSP00000376889	634
9606.ENSP00000286788	633
9606.ENSP00000410452	632
9606.ENSP00000377941	631
9606.ENSP00000259469	628
9606.ENSP00000362744	628
9606.ENSP00000311430	627
9606.ENSP00000370473	626
9606.ENSP00000346088	624
9606.ENSP00000403172	623
9606.ENSP00000330074	622
9606.ENSP00000260356	619
9606.ENSP00000361777	618
9606.ENSP00000400591	615
9606.ENSP00000233143	610
9606.ENSP00000430656	609
9606.ENSP00000349168	609
9606.ENSP00000310861	608
9606.ENSP00000452347	606
9606.ENSP00000369757	605
9606.ENSP00000309334	603
9606.ENSP00000401010	603
9606.ENSP00000339566	601
9606.ENSP00000247461	600
9606.ENSP00000361930	599
9606.ENSP00000263238	599
9606.ENSP00000280326	597
9606.ENSP00000472985	594
9606.ENSP00000279227	593
9606.ENSP00000295685	593
9606.ENSP00000438144	591
9606.ENSP00000295688	590
9606.ENSP00000228825	588
9606.ENSP00000351777	588
9606.ENSP00000360305	587
9606.ENSP00000318197	587
9606.ENSP00000307705	586
9606.ENSP00000322061	586
9606.ENSP00000270879	581
9606.ENSP00000300413	580
9606.ENSP00000376056	580
9606.ENSP00000265333	579
9606.ENSP00000251453	576
9606.ENSP00000437402	566
9606.ENSP00000296503	563
9606.ENSP00000441875	563
9606.ENSP00000272298	562
9606.ENSP00000291295	562
9606.ENSP00000349467	562
