string_external_id,abundance
10090.ENSMUSP00000054490,1052
10090.ENSMUSP00000136544,1047
10090.ENSMUSP00000062030,1046
10090.ENSMUSP00000017548,1042
10090.ENSMUSP00000132735,1041
10090.ENSMUSP00000005824,1031
10090.ENSMUSP00000018875,1029
10090.ENSMUSP00000025511,1028
10090.ENSMUSP00000030940,1023
10090.ENSMUSP00000031910,1018
10090.ENSMUSP00000063714,1011
10090.ENSMUSP00000019354,1011
10090.ENSMUSP00000027810,1006
10090.ENSMUSP00000028981,1005
10090.ENSMUSP00000033008,1005
10090.ENSMUSP00000034547,997
10090.ENSMUSP00000037613,992
10090.ENSMUSP00000045816,987
10090.ENSMUSP00000034866,985
10090.ENSMUSP00000081474,968
10090.ENSMUSP00000044168,964
10090.ENSMUSP00000091476,964
10090.ENSMUSP00000005826,962
10090.ENSMUSP00000079670,961
10090.ENSMUSP00000089293,961
10090.ENSMUSP00000039633,957
10090.ENSMUSP00000022842,952
10090.ENSMUSP00000025217,945
10090.ENSMUSP00000018437,941
10090.ENSMUSP00000015435,940
10090.ENSMUSP00000052086,925
10090.ENSMUSP00000023677,922
10090.ENSMUSP00000139663,919
10090.ENSMUSP00000140394,919
10090.ENSMUSP00000007980,919
10090.ENSMUSP00000066210,918
10090.ENSMUSP00000101006,913
10090.ENSMUSP00000026985,911
10090.ENSMUSP00000072858,910
10090.ENSMUSP00000041149,909
10090.ENSMUSP00000037206,900
10090.ENSMUSP00000106318,896
10090.ENSMUSP00000094334,891
10090.ENSMUSP00000033800,890
10090.ENSMUSP00000083077,889
10090.ENSMUSP00000086795,887
10090.ENSMUSP00000036288,886
10090.ENSMUSP00000034966,886
10090.ENSMUSP00000099878,884
10090.ENSMUSP00000099541,882
10090.ENSMUSP00000031058,882
10090.ENSMUSP00000054634,882
10090.ENSMUSP00000023826,880
10090.ENSMUSP00000062996,880
10090.ENSMUSP00000075690,879
10090.ENSMUSP00000026743,878
10090.ENSMUSP00000109552,876
10090.ENSMUSP00000076989,875
10090.ENSMUSP00000079628,875
10090.ENSMUSP00000079672,873
10090.ENSMUSP00000099843,873
10090.ENSMUSP00000132590,869
10090.ENSMUSP00000030623,862
10090.ENSMUSP00000125977,856
10090.ENSMUSP00000136633,855
10090.ENSMUSP00000104067,849
10090.ENSMUSP00000030207,845
10090.ENSMUSP00000117022,837
10090.ENSMUSP00000020640,834
10090.ENSMUSP00000033662,825
10090.ENSMUSP00000033683,824
10090.ENSMUSP00000079356,823
10090.ENSMUSP00000028892,823
10090.ENSMUSP00000033673,823
10090.ENSMUSP00000099907,820
10090.ENSMUSP00000022268,815
10090.ENSMUSP00000099435,809
10090.ENSMUSP00000111309,809
10090.ENSMUSP00000022322,808
10090.ENSMUSP00000121557,807
10090.ENSMUSP00000071636,807
10090.ENSMUSP00000057308,803
10090.ENSMUSP00000096096,798
10090.ENSMUSP00000087736,792
10090.ENSMUSP00000108237,791
10090.ENSMUSP00000021993,787
10090.ENSMUSP00000034947,785
10090.ENSMUSP00000031423,784
10090.ENSMUSP00000039657,784
10090.ENSMUSP00000064706,781
10090.ENSMUSP00000030491,778
10090.ENSMUSP00000100528,776
10090.ENSMUSP00000044827,776
10090.ENSMUSP00000112598,775
10090.ENSMUSP00000078654,774
10090.ENSMUSP00000022062,770
10090.ENSMUSP00000025961,769
10090.ENSMUSP00000113978,765
10090.ENSMUSP00000072145,764
10090.ENSMUSP00000033198,764
10090.ENSMUSP00000073175,754
10090.ENSMUSP00000038744,750
10090.ENSMUSP00000113705,750
10090.ENSMUSP00000004396,749
10090.ENSMUSP00000071616,748
10090.ENSMUSP00000050689,748
10090.ENSMUSP00000026050,748
10090.ENSMUSP00000003521,747
10090.ENSMUSP00000033176,743
10090.ENSMUSP00000089300,742
10090.ENSMUSP00000077814,739
10090.ENSMUSP00000100581,739
10090.ENSMUSP00000033540,735
10090.ENSMUSP00000077612,734
10090.ENSMUSP00000007708,731
10090.ENSMUSP00000044395,726
10090.ENSMUSP00000035105,726
10090.ENSMUSP00000038540,725
10090.ENSMUSP00000051432,723
10090.ENSMUSP00000031726,722
10090.ENSMUSP00000110547,720
10090.ENSMUSP00000005234,719
10090.ENSMUSP00000015877,719
10090.ENSMUSP00000085006,717
